Name,Part family,Type,Design,Order,V&V,Notes,Design Intend,Image,Material,Product name,Supplier Order,Interface with,Link,Supplier,Datasheet,Amount,Cost,Total cost,Count (Interface with)
Build base,Build-plate,Custom,Done,Recieved,Slight modifications,The hole for thermo couple was below spec and had to be drilled bigger,Smaller than Build cylinder - about 1mm in radius work well. Secure build plate concentric and flat from top. Mount to spindle and linear guide rod. Contain heating elements. Accomodate seal. A few millimeters of the ceramic paper seal seem to work.,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Build Plate,Build-plate,Custom,Done,Recieved,Good,,"Flat, cheap and compatible with powder material",,"Stainless steel,Steel",,,,,DTU,,10,,DKK0.00,0
Motor plate,Build-plate,Custom,Done,Recieved,Good,,"Motor plate to hold 3 non-captive stepper motors, end-stop switches",,Aluminium,,,,,DTU,,1,,DKK0.00,0
Build cylinder clamp ring,Build-plate,Custom,Done,Recieved,Good,,Ring that clamp buildcylinder up to build platform and which locate and hold z-axis motor assembly incl. build base linear stage,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Heating element plate,Build-plate,Custom,Done,Recieved,Good,,,,Aluminium,,,,,DTU,,3,,DKK0.00,0
Thermocouple plate,Build-plate,Custom,Done,Recieved,Slight modifications,Through-hole too small to accommodate reinforced braided cable.,Plate that secure thermocouple in buildbase,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Seal clamp plate,Build-plate,Custom,Done,Recieved,Slight modifications,ID of clamp plate was too small. Filed to enlargen. Check specs.,Ring that clamps down on ceramic seal,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Ceramic build base seal,Build-plate,Custom,Done,Recieved,Good,Excellent. Have been running hundreds of hours without needing to be changed,,,Ceramic paper,,,,,Keith Payne,,1,DKK1000.00,DKK1000.00,0
Motor plate shaft,Build-plate,Standard,Done,Recieved,Slight modifications,Totally within spec. But should have had flats for wrench.,Steel shaft with M10 thread in both ends. Ø20mm,10302634650.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/x7Fr_92usF5e0gQsnoyxVQ/dndhr460gDqu3i_p-DvhW7pLUgWVZ-qj73fk1BIUEyQcy5MYDuN1CqiKYyBZmhf-9mYqx-rOHXmNfG6Fe5_gDN0PmKAmNPmRQuLxYs-HsDya7rTl4pgK3GYMw6Z4zdX2JryUpG5eeRkXfDQvIncvYA/ZnJUaScsZUEzxMOtYn1FuboVlc6R3mn4MLgs_e_Gqng),Steel,SFUW20-210-M10-N10,,,https://uk.misumi-ec.com/vona2/detail/110302634470/?PNSearch=SFUW20-275-M10-N10&HissuCode=SFUW20-275-M10-N10&searchFlow=suggest2products&Keyword=SFUW20-275-M10-N10,Misumi,,3,DKK160.00,DKK480.00,0
NEMA 23 Tr11x2 Non-Captive,Build-plate,Standard,Done,Recieved,Good,Have not been proper torque tested as of now,,,,23LS22-2004N-200T,,,https://www.omc-stepperonline.com/linear-stepper-motor/nema-23-non-captive-56mm-stack-2a-lead-2mm007874-length-200mm-23ls22-2004n-200t.html?mfp=178-linear-motor-type%5BNon-Captive%5D%2C184-frame-size-mm%5BNema%2023%20%2857%20x%2057%29%5D%2C181-lead-screw-length-mm%5B200%5D,OMC,23LS22-2004N-300T.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/6Vzb5qO-IuSTX3Y-zqgW9A/yhAufcj2nnYEJIf8PvZngDuMMFiprU4Kb-CUDGLfxyqv8elUb7Rpma8pqDGgtvzxIJ6CgWMQXREDA2E44_6wcVL6vQ2lsl4uBBJQgV_LBWOq2c4CA547nExamrf12S5y_E480QJZzi5m3hEsdkOszNGmujEz5qH7zwWXcNh-y08/v2q2BEc6Kj7DFy0NYaKA3HkLLbTW9hd2sKzS5ryxueo),3,DKK300.00,DKK900.00,0
Stepper driver NEMA23,Build-plate,Standard,Done,Recieved,Good,,,,,DM332T,,,https://www.omc-stepperonline.com/digital-stepper-drive-1-0-3-2a-18-30vdc-for-nema-17-23-stepper-motor.html?search=DM332T,OMC,,3,DKK99.42,DKK298.26,0
Heating element,Build-plate,Standard,Done,Recieved,Good,Heats up super fast,Heating element,,,860-6909,860-6909,,dk.rs-online.com/web/p/varmelegemer/8606909,RS components,,3,DKK82.00,DKK246.00,0
Self-centering keyless bushing,Build-plate,Standard,Done,Recieved,Good,,,,Steel,61541100,,,https://www.maedler.de/Article/61541100,maedler,,3,DKK60.00,DKK180.00,0
Spare gas filters Polyether,Gas flow,Consumable,Done,Recieved,Good,,,,Paper,140220P,140220P,,https://www.skv-tec.nl/en/options/side-channel-blowers/filters/spare-filters/paper-spare-filter-for-in-line-filter?number=140220P&c=75,SKV-tec,,1,DKK349.00,DKK349.00,0
Gas flow end duct,Gas flow,Custom,Done,Ordered,Slight modifications,,,,Polymer,,,,,,,2,,DKK0.00,0
Gas flow inlet geometry,Gas flow,Custom,Done,Ordered,Slight modifications,,,,,,,,,,,2,,DKK0.00,0
Gas flow ducting tube,Gas flow,Standard,Done,Recieved,Slight modifications,ID was good. Too thick and heavy. Bending radius too small and tends to want to bend / not remain straight.,Tubing to connect cross flow system,,Polymer,136-9513,136-9513,,https://dk.rs-online.com/web/p/slanger/1369513,RS components,,1,DKK960.00,DKK960.00,0
Gas blower,Gas flow,Standard,Done,Recieved,Good,Changed to a sealed blower. Works great.,Centrifugal blower of ring blowe/side channel blower. Sealed 1.5kW blower,SC531MF.I.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/OPB2Ko-2BY8ex3Gf4ejF5Q/SNFSU6C_60O-DzlFGc2ifP5bD5nxB5eJ2kdv3REnIOxONQ0KsbOkk44EWha32J-FZ9tBV7mS_6Fip_XNbWSupAN89hsfjQMjnhmAaKWeUSBKWTQnwXya58eZIWuInzjBBPIMKT-iBR4vqojmBwed8g/kzCfD_ZpcknwZ4IdB5JWI8Ccp3UxW2R8V-d7AaLPOds),"Polymer,Steel,Aluminium",Single stage side channel blower fitted with 1.5kw 3Ph 400V motor.  Sealed construction,SC401MF1.3T,,https://eurovacuumproducts.com/,EuroVacuumProducts.com,,1,DKK4300.00,DKK4300.00,0
Gas bottle input,Gas flow,Standard,In progress,Recieved,Slight modifications,Compressed air regulator. Seems to work,,,,AR20-F02G-B, 890-3156,,https://dk.rs-online.com/web/p/trykluftregulatorer/8903156,RS components,0900766b81431873.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/BDNxLfxNSGa7zL77kDKDWw/oV_03HtWBB7Uf4rNKLLo3Ww9yi8ARLBwK_F7C3NcTBnXpmCDYRcjdQnKojB0oIQqNg_l74B8Vdu1pHfRQwPft2fJNXQQn1yflxHZvaARQcnio8R7yjwMBLSO-BRejcoFjAMggeJMkoluSjsSWwRiQg/1C_dhpH00K1GCa9U5DpCFd7HGmna24nhGm4Q5gzeM_o),1,DKK201.00,DKK201.00,0
Main solenoid valve,Gas flow,Standard,Done,Recieved,Good,As intended,"Main solenoid valve for input and output. 24VDC control, Ø6 tube, max 6bar pressure diff. SMC. DIN rail mount. DIN plug",,,VQ21A1-5YO-C6-Q,840-6740,,https://dk.rs-online.com/web/p/pneumatik-magnetventiler-pilotstyret/8406740,RS components,A700000006735986.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/H_2nNjQ2fatT2RR20U9NlA/R4IYZcyQLO3wk3J2znhRGGKwGdmY2HvNUxsbLpMo09bKE1LV-Ie-EjGIclMzNHf0wajnqWi9mADv6nDn9pGdLx_AkT3LHSG-gIEYb1lLZc2A7akywbhePnGV47OnSToupDWzywiLItuc_LJumRddxg/wMrzoytHqmaR2yfwgyCyL6jwqD4OM4UuVO823u3aVag),2,DKK300.00,DKK600.00,0
Ø8 Gas tubing,Gas flow,Standard,Done,Recieved,Slight modifications,Very stiff and ID seem a bit tight. Maybe should consider going to 8mm or 10mm,Tubing to connect gas supply. Ø6. 30m.,,,483-4970,483-4970,,https://dk.rs-online.com/web/p/luftslange/4834970,RS components,,1,DKK155.00,DKK155.00,0
Ø6 quick connect bulkhead,Gas flow,Standard,Done,Recieved,Slight modifications,"The main bottle input should probably be larger, perhaps 10mm",Quick connect for Ø6 ,,,187-8771,187-8771,,https://dk.rs-online.com/web/p/trykluft-lynkoblinger/1878771,RS components,0900766b816fdf3d.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/W5vF1eAl0ujlm9WuriPxsg/lIvdJCo67-uErq-YwWawpz5CBj-bfg4VUVQ2WpCn7Vj6iekFw3KM9Hs_HJhZPR_opQ6PifDTOp19iPmRh_iTLzeWHOISM6IxAALZQRBkUhP0aF8JEgZjo48YJxeEILqZZgxV1fFPTbsm1G9O44RZcA/k3XgDlcLqSzk9da-6Ov729QGUU7ts8VV7N7bdvsxZ74),1,DKK150.00,DKK150.00,0
Ø8 quick connect tube barb,Gas flow,Standard,In progress,,Good,,Connect Ø8 tubing for quick connect,,,,,,,RS components,,1,,DKK0.00,0
Ø8 process chamber inlet,Gas flow,Standard,Done,Recieved,Good,,90deg Ø8 tubing bend with M16 thread and oring. To screw into the build platform or through the side with a nut. 5pcs,,,KQ2LE08-00A,771-5532,,https://dk.rs-online.com/web/p/pneumatik-fittings/7715532,RS components,,1,DKK90.00,DKK90.00,0
Ø6 Panel mount manual flow reg.,Gas flow,Standard,Done,Recieved,Not in use,,Panel mounted manual flow regulator,,,GR-QS-6,136-6655,,https://dk.rs-online.com/web/p/pneumatik-funktionsfittings/1366655/,RS components,,2,DKK145.00,DKK290.00,0
DIN plug Solenoid,Gas flow,Standard,Done,Recieved,Good,,,,,811-8213,811-8213,,https://dk.rs-online.com/web/p/din-43650-ventilstik/8118213/,RS components,,1,DKK51.00,DKK51.00,0
Blower vibration rubber mount,Gas flow,Standard,Done,Todo,Slight modifications,Should maybe be the bigger size,,,,196-1348,196-1348,,https://dk.rs-online.com/web/p/vibrationsdaempere-fodder-fast-hojde/1961348,RS components,,,,DKK0.00,0
